costs,locs,techs,cost_energy_cap
monetary,NL11,ccgt,904.7795
monetary,NL11,hvac_transmission:NL12,175.0
monetary,NL11,hvac_transmission:NL13,175.0
monetary,NL11,hydrogen_to_power,3069.866
monetary,NL11,pv_farm,676.5703
monetary,NL11,pv_rooftop,880.0251
monetary,NL11,wind_offshore,1139.8826
monetary,NL11,wind_onshore,1139.8826
monetary,NL12,ccgt,904.7795
monetary,NL12,hvac_transmission:NL11,175.0
monetary,NL12,hvac_transmission:NL23,175.0
monetary,NL12,hydrogen_to_power,3069.866
monetary,NL12,pv_farm,676.5703
monetary,NL12,pv_rooftop,880.0251
monetary,NL12,wind_offshore,1139.8826
monetary,NL12,wind_onshore,1139.8826
monetary,NL13,ccgt,904.7795
monetary,NL13,hvac_transmission:NL11,175.0
monetary,NL13,hvac_transmission:NL21,175.0
monetary,NL13,hydrogen_to_power,3069.866
monetary,NL13,pv_farm,676.5703
monetary,NL13,pv_rooftop,880.0251
monetary,NL13,wind_onshore,1139.8826
monetary,NL21,ccgt,904.7795
monetary,NL21,hvac_transmission:NL13,175.0
monetary,NL21,hvac_transmission:NL22,175.0
monetary,NL21,hvac_transmission:NL23,175.0
monetary,NL21,hydrogen_to_power,3069.866
monetary,NL21,pv_farm,676.5703
monetary,NL21,pv_rooftop,880.0251
monetary,NL21,wind_onshore,1139.8826
monetary,NL22,ccgt,904.7795
monetary,NL22,hvac_transmission:NL21,175.0
monetary,NL22,hvac_transmission:NL41,175.0
monetary,NL22,hydrogen_to_power,3069.866
monetary,NL22,pv_farm,676.5703
monetary,NL22,pv_rooftop,880.0251
monetary,NL22,wind_onshore,1139.8826
monetary,NL23,ccgt,904.7795
monetary,NL23,hvac_transmission:NL12,175.0
monetary,NL23,hvac_transmission:NL21,175.0
monetary,NL23,hvac_transmission:NL32,175.0
monetary,NL23,hydrogen_to_power,3069.866
monetary,NL23,pv_farm,676.5703
monetary,NL23,pv_rooftop,880.0251
monetary,NL23,wind_offshore,1139.8826
monetary,NL23,wind_onshore,1139.8826
monetary,NL31,ccgt,904.7795
monetary,NL31,hvac_transmission:NL32,175.0
monetary,NL31,hvac_transmission:NL33,175.0
monetary,NL31,hydrogen_to_power,3069.866
monetary,NL31,pv_farm,676.5703
monetary,NL31,pv_rooftop,880.0251
monetary,NL31,wind_onshore,1139.8826
monetary,NL32,ccgt,904.7795
monetary,NL32,hvac_transmission:NL23,175.0
monetary,NL32,hvac_transmission:NL31,175.0
monetary,NL32,hvac_transmission:NL33,175.0
monetary,NL32,hydrogen_to_power,3069.866
monetary,NL32,pv_farm,676.5703
monetary,NL32,pv_rooftop,880.0251
monetary,NL32,wind_offshore,1139.8826
monetary,NL32,wind_onshore,1139.8826
monetary,NL33,hvac_transmission:NL31,175.0
monetary,NL33,hvac_transmission:NL32,175.0
monetary,NL33,hvac_transmission:NL41,175.0
monetary,NL33,hydrogen_to_power,3069.866
monetary,NL33,pv_farm,676.5703
monetary,NL33,pv_rooftop,880.0251
monetary,NL33,wind_offshore,1139.8826
monetary,NL33,wind_onshore,1139.8826
monetary,NL34,ccgt,904.7795
monetary,NL34,hvac_transmission:NL41,175.0
monetary,NL34,hydrogen_to_power,3069.866
monetary,NL34,pv_farm,676.5703
monetary,NL34,pv_rooftop,880.0251
monetary,NL34,wind_offshore,1139.8826
monetary,NL34,wind_onshore,1139.8826
monetary,NL41,ccgt,904.7795
monetary,NL41,hvac_transmission:NL22,175.0
monetary,NL41,hvac_transmission:NL33,175.0
monetary,NL41,hvac_transmission:NL34,175.0
monetary,NL41,hvac_transmission:NL42,175.0
monetary,NL41,hydrogen_to_power,3069.866
monetary,NL41,pv_farm,676.5703
monetary,NL41,pv_rooftop,880.0251
monetary,NL41,wind_onshore,1139.8826
monetary,NL42,ccgt,904.7795
monetary,NL42,hvac_transmission:NL41,175.0
monetary,NL42,hydrogen_to_power,3069.866
monetary,NL42,pv_farm,676.5703
monetary,NL42,pv_rooftop,880.0251
monetary,NL42,wind_onshore,1139.8826
